size,variant,seed,params_M,steps,val_loss,ece,minutes
60M,review_neutral,0,59.47,8000,1.7016,0.0087,6.9
60M,review_neutral,1,59.47,8000,1.6866,0.0081,6.9
60M,review_neutral,2,59.47,8000,1.6791,0.0087,6.9
60M,highway,0,60.68,8000,1.698,0.0078,7.3
60M,highway,1,60.68,8000,1.6938,0.0081,7.3
60M,highway,2,60.68,8000,1.6852,0.0093,7.3
150M,review_neutral,0,152.16,8000,1.5642,0.0155,12.6
150M,review_neutral,1,152.16,8000,1.5576,0.0138,12.6
150M,review_neutral,2,152.16,8000,1.551,0.015,12.6
150M,highway,0,153.21,8000,1.5713,0.0124,13.4
150M,highway,1,153.21,8000,1.5614,0.0139,13.4
150M,highway,2,153.21,8000,1.5549,0.0141,13.4
320M,review_neutral,0,320.37,8000,1.5065,0.0205,20.9
320M,review_neutral,1,320.37,8000,1.4937,0.0193,21.0
320M,highway,0,329.01,8000,1.509,0.0185,22.8
320M,highway,1,329.01,8000,1.4993,0.0176,22.8
590M,review_neutral,0,589.28,7000,1.4812,0.0226,29.1
590M,highway,0,603.3,7000,1.4903,0.0199,32.7
1B,review_neutral,0,984.04,6000,1.4787,0.0217,37.1
1B,highway,0,996.3,6000,1.4951,0.0189,36.8
1B,review_neutral,1,984.04,6000,1.496,0.0222,37.7
1B,review_neutral,2,984.04,6000,1.488,0.0222,37.7
1B,highway,1,996.3,6000,1.5106,0.019,37.4
1B,highway,2,996.3,6000,1.5035,0.0193,37.4
1B,standard,0,998.58,6000,1.4953,0.0181,35.8
1B,standard,1,998.58,6000,1.512,0.019,35.8
1B,standard,2,998.58,6000,1.5047,0.0202,35.8
590M,review_neutral,1,589.28,7000,1.4753,0.0216,29.5
590M,review_neutral,2,589.28,7000,1.4819,0.0214,29.4
590M,highway,1,603.3,7000,1.485,0.0189,33.1
590M,highway,2,603.3,7000,1.4914,0.0193,33.1
590M,standard,0,600.78,7000,1.4894,0.0192,30.1
590M,standard,1,600.78,7000,1.487,0.0199,30.0
590M,standard,2,600.78,7000,1.4938,0.0199,30.1
320M,standard,0,321.14,8000,1.5102,0.0197,22.1
320M,standard,1,321.14,8000,1.4972,0.0186,22.1
150M,standard,0,154.87,8000,1.5621,0.0146,14.0
150M,standard,1,154.87,8000,1.5529,0.0132,14.0
150M,standard,2,154.87,8000,1.5493,0.0142,14.1
60M,standard,0,59.71,8000,1.6911,0.0092,7.3
60M,standard,1,59.71,8000,1.6772,0.0085,7.3
60M,standard,2,59.71,8000,1.6731,0.0096,7.3
